GROWTH,LENGTH,WIDTH,SA,MASS,MASS_N,SEED_SIZE,SEED_STRUC,ORIGIN,cluster
0,1.4954,0.45395,0.36279999999999996,0.07296296296296295,9,1,4,1,3
0,1.5561499999999997,1.1790499999999997,1.5282,0.5611111111111112,9,1,3,0,3
1,2.0414000000000003,0.3891,0.8286499999999999,0.15055555555555555,9,1,0,0,2
0,1.64105,0.992,1.2338,0.33555555555555555,9,1,3,1,3
0,0.6068499999999999,0.4459000000000001,0.28924999999999995,0.06666666666666667,9,1,3,0,3
0,7.772999999999999,1.9426499999999998,12.564200000000001,4.702222222222222,9,0,3,1,4
0,1.0163500000000003,0.88055,0.6659999999999998,0.09722222222222221,9,1,4,1,3
1,6.032800000000001,1.5502500000000001,8.288200000000002,2.9616666666666673,12,0,0,0,5
1,8.462349999999999,0.7886000000000001,8.027050000000001,3.69,12,0,0,0,5
0,1.21235,0.8362499999999999,0.8419000000000001,0.3466666666666666,9,1,3,0,3
0,2.9077000000000006,1.3197500000000002,4.113750000000001,2.0011111111111113,9,0,1,0,0
0,1.6836000000000002,0.9757,1.37735,0.15111111111111108,9,1,3,1,3
1,7.463399999999998,1.5646999999999998,9.9228,1.9944444444444445,9,0,0,1,5
0,0.42005,0.28254999999999997,0.1018,0.016000000000000004,9,1,3,0,3
1,8.397749999999998,1.12585,4.7311917249999995,3.6622222222222223,9,0,0,1,5
0,4.685,1.4457999999999998,4.169949999999999,1.6922222222222223,9,0,3,1,0
0,4.3175,1.0135,5.5094,2.4988888888888887,9,0,0,0,0
0,2.2768,1.5304000000000002,2.9369499999999995,2.908888888888889,9,0,3,0,0
1,5.56615,0.8109000000000002,4.6286,0.44111111111111106,9,1,0,1,2
0,0.8397499999999999,0.31075,0.21939999999999998,0.027592592592592596,9,1,1,0,3
0,5.55165,4.442899999999999,17.94685,2.2966666666666664,9,0,3,1,4
0,2.8044499999999997,1.5616999999999999,2.1994727749999994,2.0444444444444447,9,0,1,1,0
0,2.7864999999999998,0.8431000000000001,1.1877673749999997,1.291111111111111,9,1,2,1,3
0,2.81415,0.8718,1.2319425499999999,0.6933333333333332,9,1,1,1,3
0,0.7085,0.5115000000000001,0.32215,0.06518518518518518,9,1,3,0,3
0,1.0898500000000002,0.4537,0.44745,0.09777777777777777,9,1,3,0,3
1,4.771300000000001,0.9195,3.972,0.26333333333333336,9,1,0,1,2
0,3.399799999999999,0.8035,1.9576999999999996,0.5722222222222222,9,1,1,0,3
0,1.4694000000000003,0.9509000000000001,1.0432000000000001,0.1338888888888889,9,1,3,0,3
0,0.4818000000000001,0.26675000000000004,0.09840000000000002,0.012296296296296298,9,1,3,1,3
0,4.33095,3.3979500000000002,11.227949999999998,27.161666666666665,12,0,3,1,1
0,7.9539,4.7189,11.08,4.52,9,0,4,1,4
0,4.56115,3.4032999999999993,13.1815,20.378333333333337,12,0,3,1,1
0,2.35335,1.4929999999999997,2.70945,1.068888888888889,9,1,3,1,3
0,1.0346999999999997,0.64425,0.52095,0.14666666666666667,9,1,3,0,3
0,2.0107,0.9989999999999999,1.6689999999999998,0.7341666666666667,9,1,3,1,3
1,2.3736499999999996,0.6308999999999999,1.2986,0.23111111111111113,9,1,3,0,2
1,3.8348499999999994,0.7558,2.3735500000000003,0.31666666666666665,9,1,3,1,2
0,1.1246,0.7885000000000001,0.72915,0.19777777777777775,9,1,3,0,3
0,1.5370500000000002,0.9550000000000003,1.0390000000000001,0.33333333333333326,9,1,3,0,3
0,0.91335,0.5753999999999999,0.5022499999999999,0.17708333333333334,12,1,3,0,3
0,0.8094500000000002,0.4548,0.33030000000000004,0.051666666666666666,9,1,3,0,3
1,9.40925,1.08745,5.1959566,7.567777777777778,9,0,0,1,5
0,3.4151499999999997,0.6929,1.8631999999999997,0.44999999999999996,9,1,1,0,3
0,10.389150000000003,1.2703,6.599903025000001,7.172222222222222,9,0,1,0,0
0,0.78925,0.5376500000000001,0.3902,0.10944444444444444,9,1,3,0,3
0,0.8991499999999999,0.6428999999999999,0.8855999999999999,0.06962962962962962,9,1,3,0,3
0,5.3884,1.4727,6.0104500000000005,1.6666666666666667,9,0,3,1,0
